"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
49,"No","Travel_Rarely",470,"Research & Development",20,4,"Medical",3,"Female",96,3,2,"Manufacturing Director",1,"Married",6567,5549,1,"No",14,3,3,0,16,2,2,15,11,5,11
43,"No","Travel_Frequently",957,"Research & Development",28,3,"Medical",2,"Female",72,4,1,"Research Scientist",3,"Single",4739,16090,4,"No",12,3,4,0,18,2,3,3,2,1,2
50,"No","Travel_Frequently",809,"Sales",12,3,"Marketing",3,"Female",77,3,3,"Sales Executive",4,"Single",9208,6645,4,"No",11,3,4,0,16,3,3,2,2,2,1
41,"No","Travel_Rarely",802,"Sales",9,1,"Life Sciences",3,"Male",96,3,3,"Sales Executive",3,"Divorced",8189,21196,3,"Yes",13,3,3,1,12,2,3,9,7,0,7
39,"No","Travel_Rarely",1329,"Sales",4,4,"Life Sciences",4,"Female",47,2,2,"Sales Executive",3,"Married",5902,14590,4,"No",14,3,3,1,17,1,4,15,11,5,9
25,"No","Travel_Rarely",959,"Sales",28,3,"Life Sciences",1,"Male",41,2,2,"Sales Executive",3,"Married",8639,24835,2,"No",18,3,4,0,6,3,3,2,2,2,2
30,"No","Travel_Rarely",1240,"Human Resources",9,3,"Human Resources",3,"Male",48,3,2,"Human Resources",4,"Married",6347,13982,0,"Yes",19,3,4,0,12,2,1,11,9,4,7
45,"No","Travel_Rarely",1316,"Research & Development",29,3,"Medical",3,"Male",83,3,1,"Research Scientist",4,"Single",3452,9752,5,"No",13,3,2,0,9,2,2,6,5,0,3
30,"No","Travel_Rarely",438,"Research & Development",18,3,"Life Sciences",1,"Female",75,3,1,"Research Scientist",3,"Single",2632,23910,1,"No",14,3,3,0,5,4,2,5,4,0,4
30,"No","Travel_Rarely",201,"Research & Development",5,3,"Technical Degree",4,"Female",84,3,1,"Research Scientist",1,"Divorced",3204,10415,5,"No",14,3,4,1,8,3,3,3,2,2,2
30,"No","Travel_Rarely",1427,"Research & Development",2,1,"Medical",2,"Male",35,2,1,"Laboratory Technician",4,"Single",2720,11162,0,"No",13,3,4,0,6,3,3,5,3,1,2
19,"No","Travel_Rarely",1181,"Research & Development",3,1,"Medical",2,"Female",79,3,1,"Laboratory Technician",2,"Single",1483,16102,1,"No",14,3,4,0,1,3,3,1,0,0,0
35,"No","Travel_Rarely",662,"Sales",1,5,"Marketing",3,"Male",94,3,3,"Sales Executive",2,"Married",7295,11439,1,"No",13,3,1,2,10,3,3,10,8,0,6
45,"No","Travel_Rarely",194,"Research & Development",9,3,"Life Sciences",2,"Male",60,3,2,"Laboratory Technician",2,"Divorced",2348,10901,8,"No",18,3,3,1,20,2,1,17,9,0,15
32,"No","Travel_Frequently",967,"Sales",8,3,"Marketing",2,"Female",43,3,3,"Sales Executive",4,"Single",8998,15589,1,"No",14,3,4,0,9,2,3,9,8,3,7
29,"No","Non-Travel",1496,"Research & Development",1,1,"Technical Degree",4,"Male",41,3,2,"Manufacturing Director",3,"Married",4319,26283,1,"No",13,3,1,1,10,1,3,10,7,0,9
51,"No","Travel_Rarely",1169,"Research & Development",7,4,"Medical",2,"Male",34,2,2,"Manufacturing Director",3,"Married",6132,13983,2,"No",17,3,3,0,10,2,3,1,0,0,0
40,"No","Travel_Rarely",630,"Sales",4,4,"Marketing",3,"Male",67,2,3,"Sales Executive",4,"Married",10855,8552,7,"No",11,3,1,1,15,2,2,12,11,2,11
34,"No","Travel_Frequently",303,"Sales",2,4,"Marketing",3,"Female",75,3,1,"Sales Representative",3,"Married",2231,11314,6,"No",18,3,4,1,6,3,3,4,3,1,2
27,"No","Non-Travel",691,"Research & Development",9,3,"Medical",4,"Male",57,3,1,"Research Scientist",2,"Divorced",2024,5970,6,"No",18,3,4,1,6,1,1,2,2,2,2
28,"No","Travel_Rarely",440,"Research & Development",21,3,"Medical",3,"Male",42,3,1,"Research Scientist",4,"Married",2713,6672,1,"No",11,3,3,1,5,2,1,5,2,0,2
57,"No","Travel_Rarely",334,"Research & Development",24,2,"Life Sciences",3,"Male",83,4,3,"Healthcare Representative",4,"Divorced",9439,23402,3,"Yes",16,3,2,1,12,2,1,5,3,1,4
27,"No","Non-Travel",1450,"Research & Development",3,3,"Medical",3,"Male",79,2,1,"Research Scientist",3,"Divorced",2566,25326,1,"Yes",15,3,4,1,1,2,2,1,1,0,1
41,"No","Travel_Rarely",465,"Research & Development",14,3,"Life Sciences",1,"Male",56,3,1,"Research Scientist",3,"Divorced",2451,4609,4,"No",12,3,1,1,13,2,3,9,8,1,8
27,"No","Travel_Rarely",1157,"Research & Development",17,3,"Technical Degree",3,"Male",51,3,1,"Research Scientist",2,"Married",3058,13364,0,"Yes",16,3,4,1,6,3,2,5,2,1,1
45,"No","Travel_Rarely",1268,"Sales",4,2,"Life Sciences",3,"Female",30,3,2,"Sales Executive",1,"Divorced",5006,6319,4,"Yes",11,3,1,1,9,3,4,5,4,0,3
56,"No","Travel_Rarely",713,"Research & Development",8,3,"Life Sciences",3,"Female",67,3,1,"Research Scientist",1,"Divorced",4257,13939,4,"Yes",18,3,3,1,19,3,3,2,2,2,2
33,"No","Travel_Rarely",134,"Research & Development",2,3,"Life Sciences",3,"Male",90,3,1,"Research Scientist",4,"Single",2500,10515,0,"No",14,3,1,0,4,2,4,3,1,0,2
38,"No","Travel_Rarely",1380,"Research & Development",9,2,"Life Sciences",3,"Female",75,3,1,"Laboratory Technician",4,"Single",2288,6319,1,"No",12,3,3,0,2,3,3,2,2,2,1
34,"No","Travel_Rarely",629,"Research & Development",27,2,"Medical",4,"Female",95,3,1,"Research Scientist",2,"Single",2311,5711,2,"No",15,3,4,0,9,3,3,3,2,1,2
50,"No","Travel_Rarely",328,"Research & Development",1,3,"Medical",3,"Male",86,2,1,"Laboratory Technician",3,"Married",3690,3425,2,"No",15,3,4,1,5,2,2,3,2,0,2
53,"No","Travel_Rarely",1084,"Research & Development",13,2,"Medical",4,"Female",57,4,2,"Manufacturing Director",1,"Divorced",4450,26250,1,"No",11,3,3,2,5,3,3,4,2,1,3
34,"No","Travel_Frequently",1069,"Research & Development",2,1,"Life Sciences",4,"Male",45,2,2,"Manufacturing Director",3,"Married",9547,14074,1,"No",17,3,3,0,10,2,2,10,9,1,9
27,"No","Travel_Rarely",894,"Research & Development",9,3,"Medical",4,"Female",99,3,1,"Research Scientist",2,"Single",2279,11781,1,"No",16,3,4,0,7,2,2,7,7,0,3
37,"No","Travel_Rarely",290,"Research & Development",21,3,"Life Sciences",2,"Male",65,4,1,"Research Scientist",1,"Married",3564,22977,1,"Yes",12,3,1,1,8,3,2,8,7,1,7
38,"No","Travel_Rarely",1084,"Research & Development",29,3,"Technical Degree",4,"Male",54,3,2,"Manufacturing Director",4,"Married",6261,4185,3,"No",18,3,1,1,9,3,1,7,7,1,7
27,"No","Travel_Frequently",472,"Research & Development",1,1,"Technical Degree",3,"Male",60,2,2,"Manufacturing Director",1,"Married",4298,9679,5,"No",19,3,3,1,6,1,3,2,2,2,0
34,"No","Travel_Frequently",878,"Research & Development",10,4,"Medical",4,"Male",43,3,1,"Research Scientist",3,"Divorced",3815,5972,1,"Yes",17,3,4,1,5,4,4,5,3,2,0
40,"No","Travel_Rarely",905,"Research & Development",19,2,"Medical",3,"Male",99,3,2,"Laboratory Technician",4,"Married",2741,16523,8,"Yes",15,3,3,1,15,2,4,7,2,3,7
22,"No","Travel_Rarely",1136,"Research & Development",5,3,"Life Sciences",4,"Male",60,4,1,"Research Scientist",2,"Divorced",2328,12392,1,"Yes",16,3,1,1,4,2,2,4,2,2,2
36,"No","Travel_Frequently",635,"Research & Development",18,1,"Medical",2,"Female",73,3,1,"Laboratory Technician",4,"Single",2153,7703,1,"No",13,3,1,0,8,2,3,8,1,1,7
46,"No","Travel_Rarely",644,"Research & Development",1,4,"Medical",4,"Male",97,3,3,"Healthcare Representative",1,"Divorced",9396,12368,7,"No",16,3,3,1,17,3,3,4,2,0,3
27,"No","Travel_Frequently",1242,"Sales",20,3,"Life Sciences",4,"Female",90,3,2,"Sales Executive",3,"Single",9981,12916,1,"No",14,3,4,0,7,2,3,7,7,0,7
41,"No","Travel_Rarely",896,"Sales",6,3,"Life Sciences",4,"Female",75,3,3,"Manager",4,"Single",13591,14674,3,"Yes",18,3,3,0,16,3,3,1,0,0,0
54,"No","Travel_Rarely",1147,"Sales",3,3,"Marketing",4,"Female",52,3,2,"Sales Executive",1,"Married",5940,17011,2,"No",14,3,4,1,16,4,3,6,2,0,5
36,"No","Travel_Rarely",1396,"Research & Development",5,2,"Life Sciences",4,"Male",62,3,2,"Laboratory Technician",2,"Single",5914,9945,8,"No",16,3,4,0,16,3,4,13,11,3,7
31,"No","Non-Travel",979,"Research & Development",1,4,"Medical",3,"Male",90,1,2,"Manufacturing Director",3,"Married",4345,4381,0,"No",12,3,4,1,6,2,3,5,4,1,4
37,"No","Travel_Frequently",319,"Sales",4,4,"Marketing",1,"Male",41,3,1,"Sales Representative",4,"Divorced",2793,2539,4,"No",17,3,3,1,13,2,3,9,8,5,8
35,"No","Travel_Frequently",944,"Sales",1,3,"Marketing",3,"Female",92,3,3,"Sales Executive",3,"Single",8789,9096,1,"No",14,3,1,0,10,3,4,10,7,0,8
52,"No","Travel_Rarely",1323,"Research & Development",2,3,"Life Sciences",3,"Female",89,2,1,"Laboratory Technician",4,"Single",3212,3300,7,"No",15,3,2,0,6,3,2,2,2,2,2
59,"No","Travel_Rarely",818,"Human Resources",6,2,"Medical",2,"Male",52,3,1,"Human Resources",3,"Married",2267,25657,8,"No",17,3,4,0,7,2,2,2,2,2,2
32,"No","Non-Travel",976,"Sales",26,4,"Marketing",3,"Male",100,3,2,"Sales Executive",4,"Married",4465,12069,0,"No",18,3,1,0,4,2,3,3,2,2,2
41,"No","Travel_Rarely",1411,"Research & Development",19,2,"Life Sciences",3,"Male",36,3,2,"Research Scientist",1,"Divorced",3072,19877,2,"No",16,3,1,2,17,2,2,1,0,0,0
40,"No","Travel_Rarely",1300,"Research & Development",24,2,"Technical Degree",1,"Male",62,3,2,"Research Scientist",4,"Divorced",3319,24447,1,"No",17,3,1,2,9,3,3,9,8,4,7
33,"No","Travel_Rarely",832,"Research & Development",5,4,"Life Sciences",3,"Female",63,2,1,"Research Scientist",4,"Married",2911,14776,1,"No",13,3,3,1,2,2,2,2,2,0,2
34,"No","Travel_Rarely",470,"Research & Development",2,4,"Life Sciences",4,"Male",84,2,2,"Manufacturing Director",1,"Married",5957,23687,6,"No",13,3,2,1,13,3,3,11,9,5,9
37,"No","Travel_Rarely",1017,"Research & Development",1,2,"Medical",3,"Female",83,2,1,"Research Scientist",1,"Married",3920,18697,2,"No",14,3,1,1,17,2,2,3,1,0,2
45,"No","Travel_Frequently",1199,"Research & Development",7,4,"Life Sciences",1,"Male",77,4,2,"Manufacturing Director",3,"Married",6434,5118,4,"No",17,3,4,1,9,1,3,3,2,0,2
29,"No","Travel_Rarely",665,"Research & Development",15,3,"Life Sciences",3,"Male",60,3,1,"Research Scientist",4,"Single",2340,22673,1,"No",19,3,1,0,6,1,3,6,5,1,5
42,"No","Travel_Rarely",916,"Research & Development",17,2,"Life Sciences",4,"Female",82,4,2,"Research Scientist",1,"Single",6545,23016,3,"Yes",13,3,3,0,10,1,3,3,2,0,2
29,"No","Travel_Rarely",1247,"Sales",20,2,"Marketing",4,"Male",45,3,2,"Sales Executive",4,"Divorced",6931,10732,2,"No",14,3,4,1,10,2,3,3,2,0,2
25,"No","Travel_Rarely",685,"Research & Development",1,3,"Life Sciences",1,"Female",62,3,2,"Manufacturing Director",3,"Married",4898,7505,0,"No",12,3,4,2,5,3,3,4,2,1,2
29,"No","Travel_Rarely",1210,"Sales",2,3,"Medical",1,"Male",78,2,2,"Sales Executive",2,"Married",6644,3687,2,"No",19,3,2,2,10,2,3,0,0,0,0
25,"No","Non-Travel",675,"Research & Development",5,2,"Life Sciences",2,"Male",85,4,2,"Healthcare Representative",1,"Divorced",4000,18384,1,"No",12,3,4,2,6,2,3,6,3,1,5
21,"No","Travel_Rarely",996,"Research & Development",3,2,"Medical",4,"Male",100,2,1,"Research Scientist",3,"Single",3230,10531,1,"No",17,3,1,0,3,4,4,3,2,1,0
37,"No","Non-Travel",728,"Research & Development",1,4,"Medical",1,"Female",80,3,3,"Research Director",4,"Divorced",13603,11677,2,"Yes",18,3,1,2,15,2,3,5,2,0,2
29,"No","Travel_Frequently",442,"Sales",2,2,"Life Sciences",2,"Male",44,3,2,"Sales Executive",4,"Single",4554,20260,1,"No",18,3,1,0,10,3,2,10,7,0,9
55,"No","Travel_Rarely",147,"Research & Development",20,2,"Technical Degree",2,"Male",37,3,2,"Laboratory Technician",4,"Married",5415,15972,3,"Yes",19,3,4,1,12,4,3,10,7,0,8
26,"No","Travel_Frequently",496,"Research & Development",11,2,"Medical",1,"Male",60,3,2,"Healthcare Representative",1,"Married",4741,22722,1,"Yes",13,3,3,1,5,3,3,5,3,3,3
37,"No","Travel_Rarely",1372,"Research & Development",1,3,"Life Sciences",4,"Female",42,3,1,"Research Scientist",4,"Single",2115,15881,1,"No",12,3,2,0,17,3,3,17,12,5,7
36,"No","Travel_Frequently",566,"Research & Development",18,4,"Life Sciences",3,"Male",81,4,1,"Laboratory Technician",4,"Married",3688,7122,4,"No",18,3,4,2,4,2,3,1,0,0,0
51,"No","Travel_Rarely",1302,"Research & Development",2,3,"Medical",4,"Male",84,1,2,"Manufacturing Director",2,"Divorced",5482,16321,5,"No",18,3,4,1,13,3,3,4,1,1,2
18,"No","Travel_Rarely",812,"Sales",10,3,"Medical",4,"Female",69,2,1,"Sales Representative",3,"Single",1200,9724,1,"No",12,3,1,0,0,2,3,0,0,0,0
28,"No","Travel_Rarely",1476,"Research & Development",16,2,"Medical",2,"Male",68,4,2,"Healthcare Representative",1,"Single",5661,4824,0,"No",19,3,3,0,9,2,3,8,3,0,7
36,"No","Non-Travel",1105,"Research & Development",24,4,"Life Sciences",2,"Female",47,3,2,"Laboratory Technician",2,"Married",5674,6927,7,"No",15,3,3,1,11,3,3,9,8,0,8
32,"No","Travel_Rarely",906,"Sales",7,3,"Life Sciences",4,"Male",91,2,2,"Sales Executive",3,"Married",5484,16985,1,"No",14,3,3,1,13,3,2,13,8,4,8
38,"No","Travel_Rarely",849,"Research & Development",25,2,"Life Sciences",1,"Female",81,2,3,"Research Director",2,"Married",12061,26707,3,"No",17,3,3,1,19,2,3,10,8,0,1
58,"No","Non-Travel",390,"Research & Development",1,4,"Life Sciences",4,"Male",32,1,2,"Healthcare Representative",3,"Divorced",5660,17056,2,"Yes",13,3,4,1,12,2,3,5,3,1,2
31,"No","Travel_Rarely",691,"Research & Development",5,4,"Technical Degree",3,"Male",86,3,1,"Research Scientist",4,"Married",4821,10077,0,"Yes",12,3,3,1,6,4,3,5,2,0,3
31,"No","Travel_Rarely",106,"Human Resources",2,3,"Human Resources",1,"Male",62,2,2,"Human Resources",1,"Married",6410,17822,3,"No",12,3,4,0,9,1,3,2,2,1,0
31,"No","Travel_Rarely",192,"Research & Development",2,4,"Life Sciences",3,"Male",32,3,1,"Research Scientist",4,"Divorced",2695,7747,0,"Yes",18,3,2,1,3,2,1,2,2,2,2
27,"No","Travel_Rarely",1220,"Research & Development",5,3,"Life Sciences",3,"Female",85,3,1,"Research Scientist",2,"Single",2478,20938,1,"Yes",12,3,2,0,4,2,2,4,3,1,2
27,"No","Travel_Rarely",1377,"Sales",2,3,"Life Sciences",4,"Male",74,3,2,"Sales Executive",3,"Single",4478,5242,1,"Yes",11,3,1,0,5,3,3,5,4,0,4
30,"No","Travel_Rarely",1275,"Research & Development",28,2,"Medical",4,"Female",64,3,2,"Research Scientist",4,"Married",5775,11934,1,"No",13,3,4,2,11,2,3,10,8,1,9
43,"No","Travel_Frequently",559,"Research & Development",10,4,"Life Sciences",3,"Female",82,2,2,"Laboratory Technician",3,"Divorced",5257,6227,1,"No",11,3,2,1,9,3,4,9,7,0,0
54,"No","Travel_Frequently",928,"Research & Development",20,4,"Life Sciences",4,"Female",31,3,2,"Research Scientist",3,"Single",4869,16885,3,"No",12,3,4,0,20,4,2,4,3,0,3
43,"No","Travel_Rarely",1001,"Research & Development",7,3,"Life Sciences",3,"Female",43,3,3,"Healthcare Representative",1,"Married",9985,9262,8,"No",16,3,1,1,10,1,2,1,0,0,0
29,"No","Travel_Rarely",738,"Research & Development",9,5,"Other",2,"Male",30,2,1,"Laboratory Technician",4,"Single",3983,7621,0,"No",17,3,3,0,4,2,3,3,2,2,2
27,"No","Travel_Rarely",1130,"Sales",8,4,"Marketing",2,"Female",56,3,2,"Sales Executive",2,"Married",6214,3415,1,"No",18,3,1,1,8,3,3,8,7,0,7
37,"No","Travel_Rarely",1192,"Research & Development",5,2,"Medical",4,"Male",61,3,2,"Manufacturing Director",4,"Divorced",6347,23177,7,"No",16,3,3,2,8,2,2,6,2,0,4
38,"No","Travel_Rarely",343,"Research & Development",15,2,"Life Sciences",3,"Male",92,2,3,"Research Director",4,"Divorced",11510,15682,0,"Yes",14,3,2,1,12,3,3,11,10,2,9
31,"No","Travel_Rarely",1232,"Research & Development",7,4,"Medical",3,"Female",39,3,3,"Manufacturing Director",4,"Single",7143,25713,1,"Yes",14,3,3,0,11,2,2,11,9,4,10
29,"No","Travel_Rarely",144,"Sales",10,1,"Marketing",4,"Female",39,2,2,"Sales Executive",2,"Divorced",8268,11866,1,"Yes",14,3,1,2,7,2,3,7,7,1,7
23,"No","Travel_Rarely",1309,"Research & Development",26,1,"Life Sciences",3,"Male",83,3,1,"Research Scientist",4,"Divorced",2904,16092,1,"No",12,3,3,2,4,2,2,4,2,0,2
41,"No","Travel_Rarely",483,"Research & Development",6,3,"Medical",4,"Male",95,2,2,"Manufacturing Director",2,"Single",6032,10110,6,"Yes",15,3,4,0,8,3,3,5,4,1,2
47,"No","Travel_Frequently",1309,"Sales",4,1,"Medical",2,"Male",99,3,2,"Sales Representative",3,"Single",2976,25751,3,"No",19,3,1,0,5,3,3,0,0,0,0
29,"No","Non-Travel",746,"Sales",2,3,"Life Sciences",4,"Male",61,3,2,"Sales Executive",3,"Married",4649,16928,1,"No",14,3,1,1,4,3,2,4,3,0,2
32,"No","Travel_Rarely",1062,"Research & Development",2,3,"Medical",3,"Female",75,3,1,"Laboratory Technician",2,"Married",2370,3956,1,"No",13,3,3,1,8,4,3,8,0,0,7
30,"No","Non-Travel",641,"Sales",25,2,"Technical Degree",4,"Female",85,3,2,"Sales Executive",3,"Married",4736,6069,7,"Yes",12,3,2,1,4,2,4,2,2,2,2
36,"No","Travel_Frequently",541,"Sales",3,4,"Medical",1,"Male",48,2,3,"Sales Executive",4,"Married",9699,7246,4,"No",11,3,1,1,16,2,3,13,9,1,12
57,"No","Travel_Rarely",593,"Research & Development",1,4,"Medical",4,"Male",88,3,2,"Healthcare Representative",3,"Married",6755,2967,2,"No",11,3,3,0,15,2,3,3,2,1,2
